Dave,Flo,Jammar,Joakim,~ Qing,Team B
S35 -NRB,S38 - NRB,S34 - NRB,S43 - NRB,S40 - NRB,Meru - 3
S42 -NRB,ISL - 22,S32 - NRB,S36 - NRB,S33 - NRB,Meru - 47
A1 - NRB,ISL - 5,A2 - NRB,A5 - NRB,A7 - NRB,Meru - 65
A8 - NRB,ISL - 29,ISL - 24,MKN  - 59,S39 - NRB,GAR - 60
GAR - 50,ISL - 35,ISL - 26,MKN  - 33,A3 - NRB,GAR - 42
GAR - 71,ISL - 27,ISL - 23,ISL - 19,,GAR - 69
,,ISL - 11,GAR - 51,,GAR - 64
,,ISL - 25,GAR - 72,,KKMG - 29
,,Meru - 62,Meru - 46,,Meru - 59
,,Meru - 67,,,KKMG - 73
,,,,,Meru - 23
,,,,,Meru - 73
,,,,,ISL - 10
,,,,,BUSIA - 1
